Scenario,Portfolio,Liability_EUR
1,Green,120384.22303918003
1,Silver,105718.70553080758
1,Gold,91053.18802243512
2,Green,123111.68461270536
2,Silver,107937.02082859281
2,Gold,92762.35704448026
3,Green,125273.32889726709
3,Silver,109624.69734716804
3,Gold,93976.06579706902
4,Green,120263.91113633093
4,Silver,105615.45820084974
4,Gold,90967.00526536854
5,Green,131129.14410558634
5,Silver,114396.21285028667
5,Gold,97663.28159498703
6,Green,128074.5487567455
6,Silver,112127.29652878306
6,Gold,96180.04430082063
7,Green,128212.381496283
7,Silver,112337.77402622053
7,Gold,96463.16655615807
8,Green,128467.49348032892
8,Silver,112468.06953022306
8,Gold,96468.64558011721
9,Green,123332.38675465157
9,Silver,108457.44880443581
9,Gold,93582.51085422008
10,Green,132083.59292430108
10,Silver,115302.62454702104
10,Gold,98521.65616974104
11,Green,132505.35304980053
11,Silver,115561.37907233667
11,Gold,98617.40509487283
12,Green,123660.63926395985
12,Silver,108521.22757302239
12,Gold,93381.81588208496
13,Green,129456.26161323165
13,Silver,113359.94998268783
13,Gold,97263.63835214403
14,Green,130915.93753005246
14,Silver,114527.42634449934
14,Gold,98138.91515894624
15,Green,129817.78569692385
15,Silver,113543.72900523715
15,Gold,97269.67231355049
16,Green,131921.0559979164
16,Silver,115236.13822781573
16,Gold,98551.22045771507
17,Green,134033.33192465908
17,Silver,117049.15493836768
17,Gold,100064.97795207631
18,Green,133573.2732107209
18,Silver,116411.37696871068
18,Gold,99249.48072670051
19,Green,135232.0663616788
19,Silver,118018.59833210015
19,Gold,100805.13030252153
20,Green,128658.13245805995
20,Silver,112759.0966408982
20,Gold,96860.0608237365
21,Green,131073.8780846439
21,Silver,114817.65741620056
21,Gold,98561.43674775722
22,Green,133418.91205612675
22,Silver,116678.96688939231
22,Gold,99939.0217226579
23,Green,134757.5277889985
23,Silver,117649.91786965562
23,Gold,100542.30795031278
24,Green,133513.77555071007
24,Silver,116691.76796049914
24,Gold,99869.76037028823
25,Green,132141.30478172592
25,Silver,115321.18007823953
25,Gold,98501.05537475315
26,Green,133752.71883017223
26,Silver,116898.915983216
26,Gold,100045.1131362598
27,Green,137356.84480377592
27,Silver,119691.34243672158
27,Gold,102025.84006966728
28,Green,137186.81333344654
28,Silver,119743.37246533668
28,Gold,102299.93159722682
29,Green,138347.32982791637
29,Silver,120552.6190292779
29,Gold,102757.90823063948
30,Green,136143.59643395117
30,Silver,118879.51249819511
30,Gold,101615.42856243906
31,Green,137104.68201043052
31,Silver,119409.57707967144
31,Gold,101714.4721489124
32,Green,137835.90239881442
32,Silver,120071.20201307704
32,Gold,102306.50162733969
33,Green,138399.91789272442
33,Silver,120554.95298735978
33,Gold,102709.9880819952
34,Green,136713.356760131
34,Silver,119223.14880933902
34,Gold,101732.94085854708
35,Green,137506.9702605307
35,Silver,119846.74260525132
35,Gold,102186.51494997198
36,Green,139617.89406786585
36,Silver,121648.43907981733
36,Gold,103678.98409176883
37,Green,139913.03881853304
37,Silver,121831.2393640751
37,Gold,103749.43990961721
38,Green,139093.15451333972
38,Silver,121223.5472516827
38,Gold,103353.93999002573
39,Green,138248.04979611648
39,Silver,120752.88533445985
39,Gold,103257.72087280326
40,Green,140727.80633066295
40,Silver,122562.2968293101
40,Gold,104396.78732795731
41,Green,140128.9518755787
41,Silver,122025.75186171054
41,Gold,103922.55184784243
42,Green,139917.289833012
42,Silver,121859.18945845815
42,Gold,103801.0890839043
43,Green,141170.22875852094
43,Silver,122812.49761235807
43,Gold,104454.76646619526
44,Green,141791.29710292368
44,Silver,123353.20731057647
44,Gold,104915.11751822932
45,Green,141635.34922654813
45,Silver,123334.4270366744
45,Gold,105033.5048468007
46,Green,140184.77782329108
46,Silver,122062.40605123846
46,Gold,103940.03427918589
47,Green,141827.53533709122
47,Silver,123486.24233365137
47,Gold,105144.94933021157
48,Green,141860.0101671106
48,Silver,123503.09216166845
48,Gold,105146.17415622636
49,Green,140215.58954822947
49,Silver,122153.38329096058
49,Gold,104091.1770336917
50,Green,141410.63518366948
50,Silver,123101.69063683959
50,Gold,104792.74609000972
51,Green,127782.13956719312
51,Silver,111748.75840152608
51,Gold,95715.37723585905
52,Green,127622.02669297968
52,Silver,111684.37165412068
52,Gold,95746.71661526174
53,Green,123110.92363736112
53,Silver,108052.88366330198
53,Gold,92994.84368924287
54,Green,126212.45094872695
54,Silver,110528.40929595452
54,Gold,94844.36764318211
55,Green,123471.39409880163
55,Silver,108480.98022609617
55,Gold,93490.56635339074
56,Green,128057.82646466052
56,Silver,112077.36302914165
56,Gold,96096.8995936228
57,Green,122970.1629869206
57,Silver,107980.16211008973
57,Gold,92990.1612332589
58,Green,127916.70072739154
58,Silver,111818.29733409017
58,Gold,95719.8939407888
59,Green,129955.1961843811
59,Silver,113657.92961729014
59,Gold,97360.66305019922
60,Green,128141.97832307845
60,Silver,112335.36845111052
60,Gold,96528.75857914257
61,Green,125769.118541903
61,Silver,110374.10904504923
61,Gold,94979.0995481955
62,Green,126719.1063399738
62,Silver,111137.79464720463
62,Gold,95556.48295443549
63,Green,126355.76205938637
63,Silver,110836.63386299287
63,Gold,95317.50566659939
64,Green,131794.9009762791
64,Silver,115123.42999273416
64,Gold,98451.95900918926
65,Green,133938.26106864764
65,Silver,116734.35045038676
65,Gold,99530.43983212592
66,Green,130204.85329455389
66,Silver,113841.24805600637
66,Gold,97477.64281745885
67,Green,126860.35485328296
67,Silver,111197.02937781611
67,Gold,95533.70390234928
68,Green,132466.85793446095
68,Silver,115722.41605678255
68,Gold,98977.9741791042
69,Green,137503.73860729183
69,Silver,119779.24393730379
69,Gold,102054.74926731581
70,Green,130999.40070414521
70,Silver,114512.03310982964
70,Gold,98024.66551551412
71,Green,130814.98268772232
71,Silver,114455.76713347738
71,Gold,98096.55157923244
72,Green,135984.1796029607
72,Silver,118531.93674245563
72,Gold,101079.69388195057
73,Green,134814.2972763182
73,Silver,117639.02478842951
73,Gold,100463.75230054089
74,Green,135743.21451830576
74,Silver,118584.11876637665
74,Gold,101425.02301444752
75,Green,132765.06662681128
75,Silver,115984.635430289
75,Gold,99204.20423376675
76,Green,132777.30218564358
76,Silver,116141.63653663536
76,Gold,99505.97088762715
77,Green,136476.19709400574
77,Silver,118948.981268401
77,Gold,101421.76544279626
78,Green,133466.18930872632
78,Silver,116760.09232975636
78,Gold,100053.99535078646
79,Green,136564.23573585463
79,Silver,119123.20459428319
79,Gold,101682.17345271175
80,Green,134932.77765861418
80,Silver,117830.16925892085
80,Gold,100727.56085922754
81,Green,134493.32437337257
81,Silver,117305.29355004575
81,Gold,100117.26272671894
82,Green,139985.09963373208
82,Silver,121924.00330250317
82,Gold,103862.90697127426
83,Green,136929.14741383767
83,Silver,119512.51936454923
83,Gold,102095.89131526081
84,Green,139840.50876707875
84,Silver,121698.29339290006
84,Gold,103556.07801872138
85,Green,139001.87131253738
85,Silver,121075.31436372818
85,Gold,103148.757414919
86,Green,138592.2078944389
86,Silver,120820.81091530027
86,Gold,103049.41393616164
87,Green,137620.31162821545
87,Silver,119970.66101068916
87,Gold,102321.0103931629
88,Green,139814.50704729048
88,Silver,121763.19144739903
88,Gold,103711.8758475076
89,Green,139069.92505323328
89,Silver,121261.7020509238
89,Gold,103453.47904861435
90,Green,136880.34878458822
90,Silver,119547.96065065713
90,Gold,102215.57251672605
91,Green,137975.48764240308
91,Silver,120389.10494187652
91,Gold,102802.72224135
92,Green,139637.05942152298
92,Silver,121712.21530590112
92,Gold,103787.37119027926
93,Green,138755.1680996802
93,Silver,120971.3064541863
93,Gold,103187.44480869244
94,Green,138521.19237691697
94,Silver,120789.63483197697
94,Gold,103058.07728703703
95,Green,141145.87884134034
95,Silver,122969.9318253064
95,Gold,104793.98480927249
96,Green,139690.5613777349
96,Silver,121751.73087963756
96,Gold,103812.90038154021
97,Green,142130.90857970782
97,Silver,123677.12781912451
97,Gold,105223.34705854123
98,Green,141554.41675011002
98,Silver,123238.08983251773
98,Gold,104921.76291492546
99,Green,141058.2782404352
99,Silver,122835.23814601205
99,Gold,104612.19805158893
100,Green,140654.994123675
100,Silver,122535.32224940894
100,Gold,104415.65037514291
